wavelength_nm,n,k,T,R,d_nm
300.0,2.04756369105305,1.9881647208456033,2.4335242230857127e-33,0.38142141379380584,900
303.75,2.1285503360622,1.981381661421229,7.663571313671945e-33,0.3791463253634728,900
307.5,2.210224561223354,1.968814935840262,2.903091475164811e-32,0.376601386102955,900
311.25,2.2919521917886474,1.9501862919968593,1.3277448498667465e-31,0.3737910740747302,900
315.0,2.3730233737538966,1.9253115199851298,7.332380836212636e-31,0.37072238371118993,900
318.75,2.4526699857309398,1.8941217808023487,4.869954676093017e-30,0.3674050113552519,900
322.5,2.530089743056889,1.8566810437160257,3.8572981214863315e-29,0.36385144159733096,900
326.25,2.6044759405124682,1.813197265009911,3.596208199229886e-28,0.3600769143055225,900
330.0,2.6750508396537245,1.764025296995607,3.877914570182938e-27,0.35609926037490347,900
333.75,2.7410999212589604,1.7096602874621538,4.7336751496262057e-26,0.35193860537888494,900
337.5,2.8020037931919406,1.65072143049197,6.3811281462619035e-25,0.34761695308768414,900
341.25,2.857264612700909,1.5879271706430444,9.24648364425568e-24,0.3431576732325295,900
345.0,2.906524481238059,1.522064093417224,1.4003653397681257e-22,0.33858492779015115,900
348.75,2.9495742964019476,1.453952515283451,2.1554183828278236e-21,0.3339230756815459,900
352.5,2.9863527870916844,1.384412059740847,3.282465639794219e-20,0.32919609622165613,900
356.25,3.0169366563409015,1.3142302450594607,4.825258652560497e-19,0.3244270670992531,900
360.0,3.041523685057415,1.2441364167281408,6.698789644728857e-18,0.31963772425813675,900
363.75,3.0604111734826556,1.1747824216609872,8.621060364778937e-17,0.3148481205414686,900
367.5,3.073972192722487,1.1067304520885244,1.0131372990549153e-15,0.31007638921515074,900
371.25,3.082631858988161,1.0404476583594031,1.0747110679407328e-14,0.30533860905493426,900
375.0,3.08684535569182,0.9763065446246272,1.0205682454548453e-13,0.30064876054876816,900
378.75,3.0870788503455957,0.9145898472219515,8.630501650232018e-13,0.29601875829489055,900
382.5,3.083793897290157,0.855498521622332,6.482323863565857e-12,0.29145854271858435,900
386.25,3.0774354563216395,0.7991615666257094,4.322590345926829e-11,0.28697621429980297,900
390.0,3.06842332318794,0.7456466226048177,2.5625715010731347e-10,0.2825781949264487,900
393.75,3.057146560859043,0.6949705312804787,1.3543775231225445e-09,0.278269403353964,900
397.5,3.043960421242765,0.6471092919496407,6.406344013898706e-09,0.274053436486822,900
401.25,3.029185228228192,0.6020070655308191,2.724535349102691e-08,0.26993275276469725,900
405.0,3.013106726959501,0.5595840506671451,1.0471535293010262e-07,0.26590882286219586,900
408.75,2.9959774676521604,0.5197431835776436,3.656929755485428e-07,0.2619821609173291,900
412.5,2.9780188675404324,0.4823756998871231,1.1668640471222223e-06,0.25815249444699123,900
