wavelength_nm,n,k,T,R,d_nm
300.0,2.3425491509829226,2.7966882347562922,5.046664140627558e-10,0.5066785660015798,180
303.75,2.407188010191109,2.804906138048067,6.019187124550062e-10,0.5056202421849347,180
307.5,2.4722530245001293,2.810935583605558,7.263494787520755e-10,0.5045063786883643,180
311.25,2.5376373060028494,2.814725671704008,8.867915129208197e-10,0.5033384575479515,180
315.0,2.603227518958441,2.816232625010567,1.0953113616259385e-09,0.5021180262927004,180
318.75,2.668904466570475,2.8154206476227497,1.3684933960454221e-09,0.5008467024982798,180
322.5,2.7345438036772727,2.8122627314841075,1.7292643553588884e-09,0.499526176984433,180
326.25,2.8000168710105484,2.8067413893971205,2.2094944137124453e-09,0.4981582156173916,180
330.0,2.8651916428289064,2.7988492940049667,2.8537157250789397e-09,0.49674465969315196,180
333.75,2.929933775804135,2.7885898030563374,3.7244507196488906e-09,0.49528742489558736,180
337.5,2.994107743208886,2.7759773530414003,4.909860106710888e-09,0.49378849884463516,180
341.25,3.0575780349192314,2.7610377058862206,6.534732536595881e-09,0.49224993727343624,180
345.0,3.1202104006999276,2.74380803676284,8.776282986250322e-09,0.4906738588984882,180
348.75,3.1818731118686983,2.7243368551060865,1.1886858379811076e-08,0.48906243907258634,180
352.5,3.2424382148955266,2.702683755472379,1.622653875434205e-08,0.48741790233563337,180
356.25,3.301782749901907,2.6789189997356226,2.2309866362458828e-08,0.48574251400221147,180
360.0,3.3597899074497826,2.653122937067495,3.08726589471757e-08,0.4840385709462859,180
363.75,3.416350098458996,2.6253852729572857,4.2967227724769717e-08,0.4823083917617624,180
367.5,3.4713619145131904,2.5958042029545365,6.009752612932937e-08,0.4805543064922682,180
371.25,3.5247329590964047,2.5644854306521236,8.44100456537474e-08,0.4787786461341921,180
375.0,3.5763805342843757,2.5315410924872017,1.1896193524321574e-07,0.4769837321235805,180
378.75,3.6262321718952784,2.497088614091173,1.6809516966612664e-07,0.47517186601998673,180
382.5,3.6742260028591134,2.4612495240905226,2.3795496632613087e-07,0.47334531959883813,180
386.25,3.7203109633614,2.424148251431852,3.3720237382744553e-07,0.4715063255580361,180
390.0,3.7644468409304994,2.385910931517362,4.779852993992284e-07,0.46965706903321525,180
393.75,3.8066041678702343,2.3466642447842254,6.772493627206121e-07,0.4677996800969434,180
397.5,3.846763973124158,2.306534308977721,9.5848983023291e-07,0.46593622738546886,180
401.25,3.884917406675372,2.2656456434168804,1.3540681939009098e-06,0.46406871294479535,180
405.0,3.9210652528611227,2.224120220213146,1.9082410477576855e-06,0.46219906830467966,180
408.75,3.955217350488887,2.1820766138588756,2.681073678426301e-06,0.4603291516595554,180
412.5,3.9873919383967755,2.139629257026347,3.7534346156670188e-06,0.45846074584154295,180
416.25,4.017614945159565,2.096887806963124,5.23328816101548e-06,0.4565955564945969,180
420.0,4.045919241085299,2.0539566236636415,7.263517024251439e-06,0.4547352094870809,180
423.75,4.072343869577626,2.0109343581375376,1.003151368367615e-05,0.45288124613168657,180
427.5,4.096933273468655,1.9679136466491836,1.3780773819566955e-05,0.4510351142380763,180
431.25,4.119736530170157,1.9249809048063948,1.8824705149253853e-05,0.449198152460096,180
435.0,4.140806607557735,1.8822162138388194,2.5562827709917625e-05,0.4473715649149762,180
438.75,4.160199650492377,1.8396932903148036,3.449948550627058e-05,0.44555638279478677,180
442.5,4.177974305883164,1.7974795298679977,4.626511425093667e-05,0.44375340985350964,180
446.25,4.194191092273734,1.7556361151977595,6.164001724661828e-05,0.441963149456286,180
450.0,4.208911818147557,1.714218178618205,8.158049494192086e-05,0.4401857125325051,180
453.75,4.222199051531645,1.6732750097036395,0.00010724705913487457,0.43842070843495246,180
457.5,4.234115642057982,1.6328502990575018,0.000140034347851968,0.4366671244072235,180
461.25,4.244724295428426,1.59298240986395,0.00018160225031862499,0.43492320395508816,180
