wavelength_nm,n,k,T,R,d_nm
300.0,2.209390329420779,2.406219352370719,1.7920677694838763e-06,0.1825704896815785,120
303.75,2.281168439272257,2.407760422169581,2.1015373399656105e-06,0.19005280828580867,120
307.5,2.3535256303250867,2.4058834208152704,2.49232515340438e-06,0.1972686254465547,120
311.25,2.426218452606212,2.400468426905924,2.9902692652601155e-06,0.20420375740027408,120
315.0,2.4989819549527588,2.391418828521871,3.63035769221514e-06,0.21084685682142112,120
318.75,2.5715323799034615,2.3786653756962335,4.460205581833794e-06,0.21718924917410243,120
322.5,2.64357070816313,2.362169890413258,5.54488637432286e-06,0.22322476546734482,120
326.25,2.714787009754605,2.34192843343788,6.973632440709776e-06,0.2289495728777646,120
330.0,2.784865505677723,2.3179737311164614,8.869099588008766e-06,0.23436200394918444,120
333.75,2.8534901900943894,2.2903766849558447,1.1400117303955325e-05,0.23946238452605137,120
337.5,2.9203508139893373,2.259246822817536,1.4799127022995289e-05,0.24425286017587625,120
341.25,2.985148992416958,2.2247316015664715,1.9385842851729486e-05,0.24873722053050118,120
345.0,3.0476041738201216,2.1870145335768654,2.5599042373566363e-05,0.2529207206264904,120
348.75,3.1074592051620957,2.146312178418218,3.403878423638826e-05,0.25680989782853453,120
352.5,3.164485242408625,2.1028701099142504,4.55217097115994e-05,0.2604123821431429,120
356.25,3.2184857914978777,2.056958030818856,6.115234969482652e-05,0.263736696554706,120
360.0,3.2692997171982037,2.0088642564314396,8.241343559639045e-05,0.26679204238582405,120
363.75,3.316803121033418,1.9588898199343086,0.00011127799310686706,0.26958806267585234,120
367.5,3.3609100583552345,1.9073424635930163,0.00015034536848082097,0.2721345744925715,120
371.25,3.4015721319494876,1.854530771167198,0.00020300220331999087,0.2744412595802289,120
375.0,3.438777059193431,1.8007586701808742,0.0002736076921904079,0.27651730284390996,120
378.75,3.472546357049514,1.7463204921425992,0.000367700270386327,0.278370971295104,120
382.5,3.502932321267617,1.6914967295017969,0.0004922203456749118,0.2800091338415407,120
386.25,3.5300144922428207,1.6365505754613336,0.0006557410944057366,0.28143673606614944,120
390.0,3.5538958010021777,1.5817252816699359,0.0008686970803052399,0.2826562644049116,120
393.75,3.5746985771041957,1.527242323241823,0.001143598950864133,0.2836672598061756,120
397.5,3.592560578991071,1.4733003231771649,0.001495222067350377,0.28446596879198205,120
401.25,3.6076311799919036,1.4200746604467098,0.0019407577455532123,0.28504524440986845,120
405.0,3.6200678130259694,1.3677176679380265,0.0024999175696940826,0.28539482396838967,120
408.75,3.630032746905074,1.31635931739558,0.003194983292745344,0.28550210787449604,120
412.5,3.637690239125605,1.2661082870651403,0.0040507960699973635,0.2853535395646704,120
416.25,3.643204085605772,1.21705331230245,0.005094677949398284,0.28493663941232716,120
420.0,3.6467355677325117,1.1692647281911934,0.00635627464278569,0.28424267894593236,120
423.75,3.648441781556593,1.1227961246233016,0.007867301277559057,0.2832699025934835,120
427.5,3.6484743228229055,1.077686046948975,0.009661162802343845,0.2820271207805375,120
431.25,3.6469782942828846,1.03395968811944,0.011772410028859925,0.2805374179170947,120
435.0,3.6440915977951107,0.9916305304337559,0.014235984283260193,0.2788416466725514,120
438.75,3.6399444724138266,0.9507019060454812,0.017086202696540077,0.27700131929226063,120
442.5,3.6346592403476654,0.9111684549971668,0.020355447122563677,0.27510046178463493,120
446.25,3.628350224759072,0.8730174676207312,0.024072546881095752,0.27324597637406034,120
450.0,3.6211238063729825,0.8362301046891514,0.0282608914559164,0.27156607772007624,120
453.75,3.613078589370605,0.8007824938351948,0.03293637273403439,0.27020645188283987,120
