wavelength_nm,n,k,T,R,d_nm
300.0,2.1197674410106035,2.3921797642536244,0.0020106174180998444,0.4507741472386982,60
303.75,2.1870327064471176,2.3967034576592936,0.0020876984987292023,0.44906479684039685,60
307.5,2.254892233111739,2.398269179492499,0.0021812520568496776,0.4472412482903837,60
311.25,2.323153736263318,2.3967758666067667,0.002293422720425793,0.44530499840791743,60
315.0,2.3916084658292354,2.392139234152932,0.0024267465375998527,0.4432576787273341,60
318.75,2.460032965382014,2.3842946267583236,0.0025842110498078327,0.44110103444338356,60
322.5,2.528191380815096,2.373199672571099,0.0027693226204431797,0.43883688943003796,60
326.25,2.5958382990669993,2.3588366206484928,0.0029861808863446454,0.4364670955653467,60
330.0,2.662722068029972,2.3412142425462785,0.003239559807803109,0.4339934648150363,60
333.75,2.7285885187298797,2.3203691873252814,0.0035349942974792956,0.4314176829354452,60
337.5,2.7931849824044153,2.2963666959958413,0.0038788708177665953,0.42874120430345103,60
341.25,2.856264470866931,2.269300606320229,0.00427851967378675,0.425965128321778,60
345.0,2.917589871050459,2.2392926106338193,0.0047423060389025495,0.42309005913341047,60
348.75,2.976937995970741,2.2064907658163246,0.005279716095852479,0.4201159520448192,60
352.5,3.034103335865406,2.171067292953121,0.0059014341426137,0.41704195210985956,60
356.25,3.0889013653128945,2.1332157414002193,0.0066194061927139095,0.41386623271968515,60
360.0,3.141171283978412,2.0931476247295153,0.007446885588271009,0.4105858446634852,60
363.75,3.1907780985150995,2.0510886616052044,0.008398456513865653,0.4071965887690736,60
367.5,3.2376139884877286,2.007274770993113,0.009490032082027025,0.40369292761046943,60
371.25,3.2815989369126584,1.9619479771826474,0.010738824825607,0.4000679535174853,60
375.0,3.3226806429501057,1.9153523759291833,0.012163288870795036,0.39631343084238074,60
378.75,3.360833767554075,1.8677302996344507,0.01378303459082812,0.3924199297638692,60
382.5,3.396058590190777,1.8193187987096726,0.015618717906074275,0.38837706658091276,60
386.25,3.428379174588826,1.7703465304594141,0.017691907324847798,0.38417386139354665,60
390.0,3.4578411532659357,1.721031118518289,0.020024932056526713,0.37979921844582976,60
393.75,3.4845092444893724,1.6715770174833844,0.022640713896985104,0.37524252761618104,60
397.5,3.5084646122405134,1.6221738909683336,0.02556258403510485,0.3704943781690827,60
401.25,3.5298021710014833,1.5729954884009691,0.028814083564045072,0.3655473685984154,60
405.0,3.5486279243341454,1.5241989874617319,0.032418743567696036,0.3603969898151526,60
408.75,3.5650564108850173,1.4759247555241295,0.036399837590818974,0.35504255350089675,60
412.5,3.5792083150995038,1.428296474745787,0.04078009657493384,0.34948813333934803,60
416.25,3.591208283802048,1.3814215711414648,0.04558137445896263,0.3437434839441023,60
420.0,3.60118297483681,1.3353918873836461,0.050824252075921644,0.3378249002948291,60
423.75,3.609259350801028,1.2902845414391368,0.05652756811175379,0.3317559789485709,60
427.5,3.615563219893482,1.246162917658276,0.06270786899782425,0.32556824084430236,60
431.25,3.6202180171589147,1.2030777428353885,0.0693787748109486,0.3193015740234933,60
435.0,3.6233438128704134,1.1610682064027964,0.07655026551951621,0.3130044532482751,60
438.75,3.6250565302634428,1.1201630907760938,0.08422790102304635,0.30673389291717384,60
442.5,3.625467352050794,1.0803818845339432,0.09241199895249773,0.3005550908449241,60
446.25,3.6246822938057277,1.0417358573100473,0.1010968054476089,0.29454072464967807,60
450.0,3.6228019220979886,1.004229080822266,0.11026970514767379,0.2887698710155723,60
453.75,3.619921195920434,0.9678593852739764,0.11991052619336638,0.2833265321108061,60
457.5,3.616129411200538,0.9326192444119329,0.12999100269387037,0.2782977735597238,60
461.25,3.6115102298393484,0.898496585836488,0.14047445933522462,0.27377150436333936,60
465.0,3.6061417765877284,0.865475525789318,0.15131577918953576,0.26983395969743973,60
468.75,3.600096789022491,0.8335370296643286,0.16246170533457588,0.2665669800244162,60
472.5,3.5934428078235707,0.8026595009810386,0.173851509324749,0.2640452107486373,60
476.25,3.586242396408009,0.7728193026096495,0.18541803555472683,0.26233337130788914,60
480.0,3.57855338070063,0.7439912147225091,0.1970891019194185,0.261483756635409,60
483.75,3.570429101388679,0.7161488343400896,0.20878920672964343,0.26153413363228944,60
487.5,3.5619186724049876,0.689264921505105,0.22044146315346877,0.26250617858111863,60
491.25,3.553067240610686,0.663311697110669,0.23196965928384294,0.2644045685357762,60
495.0,3.5439162427085447,0.6382610972738035,0.24330032759706122,0.26721679343106175,60
498.75,3.5345036563229084,0.6140849889216456,0.2543647042852226,0.27091370105338414,60
502.5,3.5248642429449215,0.5907553509748114,0.2651004673838927,0.27545073068331366,60
506.25,3.5150297810767577,0.5682444251943111,0.27545316171886364,0.2807697400922312,60
510.0,3.5050292884313374,0.546524840423508,0.2853772458770205,0.2868012906850766,60
513.75,3.4948892324689522,0.5255697136184388,0.29483672804334693,0.29346723104552386,60
517.5,3.4846337288927645,0.5053527307285312,0.30380538965447146,0.30068341157431755,60
521.25,3.4742847279948283,0.48584821017204377,0.3122666247416236,0.30836237139763945,60
525.0,3.4638621889533865,0.46703115135119116,0.32021294579077025,0.3164158602697402,60
528.75,3.453384242341578,0.44887727037362585,0.3276452223385699,0.32475708852502555,60
532.5,3.442867341225788,0.4313630248909621,0.33457172598208146,0.3333026325711018,60
536.25,3.432326401316253,0.41446562973194334,0.3410070556894596,0.3419739576600157,60
540.0,3.421774930689608,0.3981630647970694,0.34697101166934996,0.35069855036141756,60
543.75,3.4112251496386095,0.38243407649226435,0.3524874763646674,0.35941067810576544,60
547.5,3.4006881012221983,0.36725817381021825,0.35758334919307033,0.36805181137047643,60
551.25,3.3901737530940803,0.35261562001799696,0.3622875690622818,0.37657075554883757,60
555.0,3.3796910911822633,0.3384874207767976,0.36663024668952976,0.3849235449894948,60
558.75,3.369248205778827,0.3248553094028871,0.37064191819322806,0.39307315225909495,60
562.5,3.3588523705803865,0.3117017298762276,0.3743529227626099,0.40098906265201256,60
566.25,3.3485101151967296,0.29900981811360555,0.3777929005932596,0.4086467585963097,60
570.0,3.338227291619865,0.2867633819449063,0.38099040261880396,0.4160271519646017,60
573.75,3.3280091351183505,0.27494688016322827,0.38397260064068567,0.42311599524648835,60
577.5,3.3178603199944954,0.2635454009605893,0.3867650849544051,0.42990329569225827,60
581.25,3.3077850106135895,0.25254464001007493,0.38939173616819217,0.4363827502958108,60
585.0,3.2977869080872053,0.2419308784113384,0.39187465830324814,0.4425512140689447,60
588.75,3.287869292965696,0.2316909606786042,0.3942341611874771,0.44840820955402727,60
592.5,3.278035064269019,0.22181227291794423,0.3964887813898845,0.4539554819169017,60
596.25,3.268286775160576,0.212282721312891,0.3986553323235279,0.4591966011858657,60
600.0,3.258626665545091,0.2030907110138512,0.4007489755496003,0.464136611151925,60
603.75,3.249056691849569,0.19422512550671386,0.40278330666158263,0.46878172300394805,60
607.5,3.239578554225412,0.18567530651908923,0.40477045036513,0.47313905082401503,60
611.25,3.2301937213903074,0.1774310345082971,0.4067211604690871,0.47721638550645024,60
615.0,3.2209034533103,0.16948250976326412,0.4086449214554688,0.48102200339517487,60
618.75,3.2117088219053316,0.16182033414249858,0.41055004910287146,0.48456450587944133,60
622.5,3.2026107299456763,0.15443549346214733,0.4124437883075291,0.4878526862836686,60
626.25,3.1936099282918278,0.1473193405414091,0.4143324067922065,0.4908954205824699,60
630.0,3.184707031616547,0.14046357890731107,0.41622128383046036,0.49370157872813175,60
633.75,3.1759025327346353,0.13386024715671604,0.4181149934578593,0.49627995366589595,60
637.5,3.167196815653755,0.1275017039704381,0.42001738190742816,0.49863920541136336,60
641.25,3.1585901674477515,0.12138061377239394,0.4219316392073088,0.5007878178595796,60
645.0,3.1500827890426213,0.1154899330257851,0.42386036502659574,0.5027340662771633,60
